"id_grid";"metro";"count_p";"len";"cont_wh";"wh_vg_p";"urbn_mm";"class_central";"class_wh";"class_wh_price"
"117";"belo_horizonte";"0";"1,11174177456952e+05";"2";"12,2500000000000";"0,205093684405361";"suburban";"Medium";"Low"
"123";"belo_horizonte";"0";"1,67476979791857e+05";"4";"24,8690059500000";"0,308960872248364";"suburban";"High";"Low"
"136";"belo_horizonte";"0";"3,25792093916918e+04";"1";"19,0000000000000";"0,060101997082399";"suburban";"Medium";"Low"
"141";"belo_horizonte";"8";"1,91867249564727e+05";"3";"25,8755375900000";"0,361648253489072";"suburban";"Medium";"Low"
"156";"belo_horizonte";"2";"1,93869995955814e+05";"2";"58,8095237950000";"0,359573681368759";"suburban";"Medium";"Low"
"157";"belo_horizonte";"7";"1,46455062865179e+05";"8";"29,7038461562500";"0,276910491985804";"suburban";"High";"Low"
"161";"belo_horizonte";"0";"9,65675894088161e+04";"2";"20,2666666650000";"0,178147508342638";"suburban";"Medium";"Low"
"168";"belo_horizonte";"1";"1,49921855330896e+05";"1";"20,9000000000000";"0,277536786293771";"suburban";"Medium";"Low"
"173";"belo_horizonte";"3";"1,94604262194021e+05";"2";"27,1428571450000";"0,361889791292602";"suburban";"Medium";"Low"
"174";"belo_horizonte";"54";"3,81338097294590e+05";"39";"32,8990498493590";"0,755414095856512";"central";"High";"Low"
"175";"belo_horizonte";"2";"7,43642030249160e+04";"13";"18,9712627369231";"0,139109865574191";"suburban";"High";"Low"
"178";"belo_horizonte";"18";"1,38654874661642e+05";"1";"62,7000000000000";"0,273097658607474";"suburban";"Medium";"Low"
"185";"belo_horizonte";"2";"8,86007618033432e+04";"1";"23,5434782600000";"0,165373413098541";"suburban";"Medium";"Low"
"186";"belo_horizonte";"21";"2,55871995499927e+05";"3";"18,5440000000000";"0,492223956530475";"central";"Medium";"Low"
"190";"belo_horizonte";"75";"4,16564625564018e+05";"39";"39,3362303571795";"0,840592164063072";"central";"High";"Low"
"191";"belo_horizonte";"0";"1,37007104313311e+05";"3";"27,0333333333333";"0,252750166055487";"suburban";"Medium";"Low"
"201";"belo_horizonte";"9";"1,59000746823459e+05";"2";"28,8800000000000";"0,301977797229214";"suburban";"Medium";"Low"
"206";"belo_horizonte";"7";"1,86011868965155e+05";"5";"20,9852974560000";"0,349884731975068";"suburban";"High";"Low"
"207";"belo_horizonte";"3";"1,19306968388023e+05";"9";"28,9851538277778";"0,222981640446108";"suburban";"High";"Low"
"208";"belo_horizonte";"2";"1,14553109619574e+05";"1";"10,6875000000000";"0,213250202064766";"suburban";"Medium";"Low"
"209";"belo_horizonte";"53";"3,51204187704022e+05";"2";"23,6333333350000";"0,698861639748107";"central";"Medium";"Low"
"210";"belo_horizonte";"18";"2,19458253952834e+05";"65";"29,9137499138615";"0,422163414256096";"suburban";"High";"Low"
"211";"belo_horizonte";"1";"1,77248433678246e+05";"11";"21,4055662099091";"0,327948750327594";"suburban";"High";"Low"
"222";"belo_horizonte";"2";"1,97138230976102e+05";"3";"33,0892307700000";"0,365602908453197";"suburban";"Medium";"Low"
"226";"belo_horizonte";"1";"1,38906237862054e+05";"1";"41,4545454500000";"0,257215218602751";"suburban";"Medium";"Low"
"229";"belo_horizonte";"24";"2,69665676066335e+05";"6";"29,8151796066667";"0,520555099459409";"central";"High";"Low"
"230";"belo_horizonte";"60";"4,22474925255939e+05";"19";"26,2101560100000";"0,837072384717578";"central";"High";"Low"
"231";"belo_horizonte";"37";"4,27515015628943e+05";"15";"29,7583319272667";"0,824254938957963";"central";"High";"Low"
"232";"belo_horizonte";"12";"2,27528452221956e+05";"2";"54,3116883100000";"0,431282053446927";"suburban";"Medium";"Low"
"244";"belo_horizonte";"0";"5,39853230066061e+04";"1";"3,7279267500000";"0,099591911111963";"suburban";"Medium";"Low"
"249";"belo_horizonte";"0";"4,42001866861575e+04";"1";"3,0554811040000";"0,081540330193844";"suburban";"Medium";"Low"
"250";"belo_horizonte";"33";"2,64144171421503e+05";"3";"163,5520000000000";"0,519022895606198";"central";"Medium";"High"
"251";"belo_horizonte";"48";"3,64351098131167e+05";"3";"37,0574026000000";"0,718307315980914";"central";"Medium";"Low"
"252";"belo_horizonte";"101";"4,18404129767917e+05";"24";"30,4321329562500";"0,868985674168446";"central";"High";"Low"
"253";"belo_horizonte";"92";"4,81647812936928e+05";"36";"32,3371152512500";"0,977003525464491";"central";"High";"Low"
"254";"belo_horizonte";"145";"4,60206751916869e+05";"53";"39,5420614398113";"0,988410679061190";"central";"High";"Low"
"255";"belo_horizonte";"35";"2,98577605581441e+05";"11";"23,5656650818182";"0,584468636156138";"central";"High";"Low"
"256";"belo_horizonte";"5";"7,43992785613953e+04";"3";"28,2888888900000";"0,142059188170262";"suburban";"Medium";"Low"
"270";"belo_horizonte";"29";"1,36687294273760e+05";"2";"35,9312101900000";"0,280044797139594";"suburban";"Medium";"Low"
"272";"belo_horizonte";"36";"1,66485607177672e+05";"4";"23,9350000000000";"0,341747376572365";"suburban";"High";"Low"
"273";"belo_horizonte";"23";"2,26431645124281e+05";"1";"248,7272727000000";"0,439835591112870";"suburban";"Medium";"High"
"274";"belo_horizonte";"51";"4,46248815061858e+05";"38";"32,1853611565789";"0,872276516778421";"central";"High";"Low"
"275";"belo_horizonte";"160";"4,21271740093355e+05";"34";"39,7169978332353";"0,931006599625564";"central";"High";"Low"
"276";"belo_horizonte";"171";"4,34961192757675e+05";"151";"30,9334654360265";"0,966837771023823";"central";"High";"Low"
"277";"belo_horizonte";"292";"4,70645971681639e+05";"80";"40,3752492472000";"1,149015064385630";"central";"High";"Low"
"278";"belo_horizonte";"107";"2,68578819762162e+05";"50";"38,7051610701200";"0,598357763540755";"central";"High";"Low"
"280";"belo_horizonte";"9";"1,83239386670562e+05";"11";"41,6428682463636";"0,346693144488176";"suburban";"High";"Low"
"294";"belo_horizonte";"10";"1,53370270366722e+05";"1";"48,8571428600000";"0,292552254914581";"suburban";"Medium";"Low"
"295";"belo_horizonte";"6";"1,79461324621443e+05";"10";"30,3285296433000";"0,336838775125700";"suburban";"High";"Low"
"296";"belo_horizonte";"10";"1,67026199597520e+05";"4";"45,0277006100000";"0,317744659337880";"suburban";"High";"Low"
"297";"belo_horizonte";"22";"3,79952346874178e+05";"9";"30,7132507665556";"0,722088438173319";"central";"High";"Low"
"298";"belo_horizonte";"39";"3,91162914210585e+05";"20";"30,2455658800000";"0,759115802457826";"central";"High";"Low"
"299";"belo_horizonte";"106";"5,35198966760151e+05";"59";"35,4445449022034";"1,089256021439660";"central";"High";"Low"
"300";"belo_horizonte";"1040";"5,42065338478290e+05";"86";"40,7486421587209";"2,000000000000000";"central";"High";"Low"
"301";"belo_horizonte";"225";"3,15521648927682e+05";"3";"77,2121046900000";"0,798419248232576";"central";"Medium";"Medium"
"317";"belo_horizonte";"13";"2,24687797157073e+05";"11";"40,2420220172727";"0,427003162640552";"suburban";"High";"Low"
"318";"belo_horizonte";"0";"1,97010143137446e+05";"6";"38,3690237966667";"0,363443535590196";"suburban";"High";"Low"
"320";"belo_horizonte";"5";"1,50769305053792e+05";"6";"33,2975774266667";"0,282946312048696";"suburban";"High";"Low"
"321";"belo_horizonte";"3";"1,99338440410126e+05";"1";"19,6551724100000";"0,370623384607008";"suburban";"Medium";"Low"
"322";"belo_horizonte";"28";"3,24911295787192e+05";"11";"20,4794250472727";"0,626318154828809";"central";"High";"Low"
"323";"belo_horizonte";"37";"2,85878553113446e+05";"17";"35,0511376052941";"0,562964551136627";"central";"High";"Low"
"325";"belo_horizonte";"17";"1,26239661109718e+05";"4";"41,2188235300000";"0,249232583117030";"suburban";"High";"Low"
"346";"belo_horizonte";"8";"1,50316173847951e+05";"4";"32,5109052250000";"0,284994992770689";"suburban";"High";"Low"
"347";"belo_horizonte";"3";"8,00187314146198e+04";"9";"30,9034594455556";"0,150502855723044";"suburban";"High";"Low"
"348";"belo_horizonte";"9";"1,85982680634518e+05";"2";"35,0550000000000";"0,351753962380825";"suburban";"Medium";"Low"
"350";"belo_horizonte";"11";"1,00820320942721e+05";"2";"21,6600000000000";"0,196569853792154";"suburban";"Medium";"Low"
"351";"belo_horizonte";"2";"1,83058744252620e+05";"3";"19,2820120633333";"0,339629126836747";"suburban";"Medium";"Low"
"374";"belo_horizonte";"29";"1,62769438694246e+05";"1";"33,0880066300000";"0,328161034369787";"suburban";"Medium";"Low"
"20";"sao_paulo";"2";"1,26029082771551e+05";"9";"29,7733736011111";"0,218843867774397";"suburban";"High";"Low"
"32";"sao_paulo";"3";"7,37960938978916e+04";"14";"18,9868985772857";"0,128928218295104";"suburban";"High";"Low"
"33";"sao_paulo";"0";"7,61144957933844e+04";"1";"27,3600000000000";"0,131651234663834";"suburban";"Medium";"Low"
"35";"sao_paulo";"20";"2,04889520835015e+05";"16";"30,0785863837500";"0,362966621884692";"suburban";"High";"Low"
"49";"sao_paulo";"0";"6,36532142251065e+04";"22";"38,3803608713636";"0,110097612231508";"suburban";"High";"Low"
"50";"sao_paulo";"16";"1,53804192594152e+05";"10";"41,7176977420000";"0,272891018413286";"suburban";"High";"Low"
"51";"sao_paulo";"11";"2,45491026084940e+05";"96";"42,7824197219271";"0,429331903301497";"suburban";"High";"Low"
"53";"sao_paulo";"6";"1,92424988637086e+05";"2";"45,8533333350000";"0,335401371003453";"suburban";"Medium";"Low"
"67";"sao_paulo";"64";"1,61161115741024e+05";"63";"38,7124584598413";"0,306207921506555";"suburban";"High";"Low"
"68";"sao_paulo";"4";"1,39529117600638e+05";"47";"38,9073628140425";"0,243052167872093";"suburban";"High";"Low"
"69";"sao_paulo";"23";"2,58788213124338e+05";"228";"46,7287973155263";"0,457479352550725";"suburban";"Extremely high";"Low"
"70";"sao_paulo";"39";"3,45061242193815e+05";"19";"43,3186009794737";"0,613565274068376";"suburban";"High";"Low"
"71";"sao_paulo";"19";"2,69199594048384e+05";"1";"45,6000000000000";"0,473771368084511";"suburban";"Medium";"Low"
"84";"sao_paulo";"15";"1,12371471373231e+05";"4";"31,4775879950000";"0,200798022218965";"suburban";"High";"Low"
"85";"sao_paulo";"28";"2,12377145183006e+05";"85";"31,0064743371765";"0,379349574801902";"suburban";"High";"Low"
"86";"sao_paulo";"13";"1,86795043145855e+05";"31";"64,9427993725807";"0,328666553801713";"suburban";"High";"Medium"
"87";"sao_paulo";"98";"4,17662312902923e+05";"34";"45,8704506152941";"0,764450547715959";"suburban";"High";"Low"
"88";"sao_paulo";"11";"3,35682340243386e+05";"7";"42,6644470614286";"0,585331069309836";"suburban";"High";"Low"
"89";"sao_paulo";"32";"2,22873190223873e+05";"5";"33,2162746920000";"0,399220032831565";"suburban";"High";"Low"
"90";"sao_paulo";"5";"1,58847163585094e+05";"3";"61,6069498100000";"0,276894575019967";"suburban";"Medium";"Low"
"91";"sao_paulo";"0";"1,55632934320222e+05";"3";"29,8838188810000";"0,269190089798815";"suburban";"Medium";"Low"
"92";"sao_paulo";"7";"1,71397016035961e+05";"10";"34,6829704370000";"0,299459394701159";"suburban";"High";"Low"
"100";"sao_paulo";"1";"4,41787095929221e+04";"1";"34,2000000000000";"0,076842587658842";"suburban";"Medium";"Low"
"101";"sao_paulo";"11";"1,81547026964599e+05";"3";"52,6838247466667";"0,318731335751424";"suburban";"Medium";"Low"
"103";"sao_paulo";"16";"1,64637786096998e+05";"12";"35,0202877708333";"0,291629314524022";"suburban";"High";"Low"
"104";"sao_paulo";"9";"1,51444320455427e+05";"34";"52,0261050532353";"0,265806268858939";"suburban";"High";"Low"
"105";"sao_paulo";"44";"3,98183823981405e+05";"9";"52,5654591311111";"0,707593608132848";"suburban";"High";"Low"
"106";"sao_paulo";"17";"4,04204795636897e+05";"57";"47,3707347543860";"0,706424754116790";"suburban";"High";"Low"
"107";"sao_paulo";"28";"2,62619861140453e+05";"8";"43,5792918612500";"0,466251754468408";"suburban";"High";"Low"
"109";"sao_paulo";"11";"1,88215579220295e+05";"7";"33,9992589314286";"0,330265579376524";"suburban";"High";"Low"
"110";"sao_paulo";"0";"1,23258873044713e+05";"1";"18,2400000000000";"0,213194381050077";"suburban";"Medium";"Low"
"112";"sao_paulo";"3";"1,61257738212817e+05";"5";"22,6923772060000";"0,280206018138190";"suburban";"High";"Low"
"121";"sao_paulo";"12";"1,83121286150782e+05";"2";"33,2228571450000";"0,321883249383508";"suburban";"Medium";"Low"
"122";"sao_paulo";"39";"3,81189571519085e+05";"156";"53,1799694589679";"0,676054542537348";"suburban";"High";"Low"
"123";"sao_paulo";"88";"4,97154115119167e+05";"161";"49,3161244048571";"0,897653327137351";"suburban";"High";"Low"
"124";"sao_paulo";"32";"4,08935652700688e+05";"36";"48,9064332036111";"0,721042474855743";"suburban";"High";"Low"
"125";"sao_paulo";"45";"4,48098381931046e+05";"19";"42,9386844389474";"0,794357190605299";"suburban";"High";"Low"
"128";"sao_paulo";"4";"1,62077850684735e+05";"2";"28,6092892550000";"0,282053523917134";"suburban";"Medium";"Low"
"129";"sao_paulo";"0";"8,74404958351496e+04";"1";"14,2500000000000";"0,151241220431442";"suburban";"Medium";"Low"
"134";"sao_paulo";"22";"2,90948074201734e+05";"5";"28,9107157760000";"0,512675570069034";"suburban";"High";"Low"
"135";"sao_paulo";"54";"2,49279686202998e+05";"7";"28,4953542528571";"0,454331967617964";"suburban";"High";"Low"
"136";"sao_paulo";"26";"1,51938187072465e+05";"7";"30,3537183057143";"0,273953491229043";"suburban";"High";"Low"
"138";"sao_paulo";"56";"2,88805095948285e+05";"1";"45,6000000000000";"0,523554988033951";"suburban";"Medium";"Low"
"139";"sao_paulo";"42";"4,21564445667637e+05";"51";"48,0080076347059";"0,747175837222059";"suburban";"High";"Low"
"140";"sao_paulo";"188";"4,93420118851616e+05";"6";"46,8438312733333";"0,934094873351196";"central";"High";"Low"
"141";"sao_paulo";"134";"4,49661130436707e+05";"5";"66,7540497740000";"0,835241232571553";"suburban";"High";"Medium"
