city;metropolitan area;metro;address;state;country;price;size;lon;lat;out_size;ex_size;out_price;ex_price
Belo HOrizonte;Belo Horizonte;Belo Horizonte;Avenida Elias Antônio Issa, Letícia;NA;Brazil;26,530909090;550;-43,9760536;-19,8086452;NA;NA;NA;NA
Belo HOrizonte;Belo Horizonte;Belo Horizonte;Rua Jamaica, Itapoã;NA;Brazil;43,500000000;1520;-43,9619772;-19,8411766;NA;NA;NA;NA
Belo HOrizonte;Belo Horizonte;Belo Horizonte;Carlos Prates, Belo Horizonte;NA;Brazil;24,225000000;800;-43,9551767;-19,9147953;NA;NA;NA;NA
Belo HOrizonte;Belo Horizonte;Belo Horizonte;Rua Magnólia, Caiçaras;NA;Brazil;31,920000000;50;-43,9633977;-19,9070647;NA;NA;NA;NA
Belo HOrizonte;Belo Horizonte;Belo Horizonte;Rua Ubari, Nova Suíssa;NA;Brazil;54,219512200;82;-43,9729173;-19,9337175;NA;NA;NA;NA
Belo HOrizonte;Belo Horizonte;Belo Horizonte;Nova Esperança, Belo Horizonte;NA;Brazil;38,000000000;150;-43,9591741;-19,9007003;NA;NA;NA;NA
Belo HOrizonte;Belo Horizonte;Belo Horizonte;São Paulo, Belo Horizonte;NA;Brazil;11,895652170;345;-43,9257935;-19,8686823;NA;NA;NA;NA
Belo HOrizonte;Belo Horizonte;Belo Horizonte;Carlos Prates, Belo Horizonte;NA;Brazil;21,901477830;406;-43,9551767;-19,9147953;NA;NA;NA;NA
Belo HOrizonte;Belo Horizonte;Belo Horizonte;Rua Popular, São Cristóvão;NA;Brazil;22,800000000;330;-43,9479098;-19,8992070;NA;NA;NA;NA
Belo HOrizonte;Belo Horizonte;Belo Horizonte;Rua Desembargador Bráulio, Vera Cruz;NA;Brazil;10,640000000;600;-43,8899573;-19,9114450;NA;NA;NA;NA
Belo HOrizonte;Belo Horizonte;Belo Horizonte;Rua Patrocínio, Carlos Prates;NA;Brazil;19,950000000;160;-43,9513889;-19,9157686;NA;NA;NA;NA
Belo HOrizonte;Belo Horizonte;Belo Horizonte;Rua Conselheiro Rocha, Floresta;NA;Brazil;25,158620690;290;-43,9304144;-19,9206483;NA;NA;NA;NA
Belo HOrizonte;Belo Horizonte;Belo Horizonte;Caiçaras, Belo Horizonte;NA;Brazil;24,066666670;360;-43,9670583;-19,9050681;NA;NA;NA;NA
Belo HOrizonte;Belo Horizonte;Belo Horizonte;Rua Caldas da Rainha, São Francisco;NA;Brazil;28,565517240;870;-43,9578414;-19,8778160;NA;NA;NA;NA
Belo HOrizonte;Belo Horizonte;Belo Horizonte;Rua Corumbá, Carlos Prates;NA;Brazil;20,064000000;500;-43,9598153;-19,9157204;NA;NA;NA;NA
Belo HOrizonte;Belo Horizonte;Belo Horizonte;Rua Aveiro, São Francisco;NA;Brazil;16,581818180;550;-43,9603192;-19,8793309;NA;NA;NA;NA
Belo HOrizonte;Belo Horizonte;Belo Horizonte;Rua José Oscar Barreira, Itapoã;NA;Brazil;42,750000000;160;-43,9541168;-19,8369785;NA;NA;NA;NA
Belo HOrizonte;Belo Horizonte;Belo Horizonte;Avenida Nélio Cerqueira, Tirol;NA;Brazil;7,388888889;1080;-44,0401194;-19,9918997;NA;NA;NA;NA
Belo HOrizonte;Belo Horizonte;Belo Horizonte;Rua Judá, Glória;NA;Brazil;33,139534880;172;-44,0106356;-19,8980217;NA;NA;NA;NA
Belo HOrizonte;Belo Horizonte;Belo Horizonte;Rua Rocha Lagoa, Cachoeirinha;NA;Brazil;15,038297870;470;-43,9502108;-19,8814332;NA;NA;NA;NA
Belo HOrizonte;Belo Horizonte;Belo Horizonte;Rua Padre Eustáquio, Carlos Prates;NA;Brazil;22,800000000;300;-43,9619920;-19,9115744;NA;NA;NA;NA
Belo HOrizonte;Belo Horizonte;Belo Horizonte;Beco Vila Esportiva, São Gabriel;NA;Brazil;19,542857140;210;-43,9198634;-19,8535374;NA;NA;NA;NA
Belo HOrizonte;Belo Horizonte;Belo Horizonte;Nova Suíssa, Belo Horizonte;NA;Brazil;41,275862070;58;-43,9779523;-19,9330673;NA;NA;NA;NA
Belo HOrizonte;Belo Horizonte;Belo Horizonte;Rua São Salvador, Lagoinha;NA;Brazil;18,240000000;250;-43,9482500;-19,9122719;NA;NA;NA;NA
Belo HOrizonte;Belo Horizonte;Belo Horizonte;Saudade, Belo Horizonte;NA;Brazil;14,693333330;450;-43,8985971;-19,9153126;NA;NA;NA;NA
Belo HOrizonte;Belo Horizonte;Belo Horizonte;Avenida Josefino Gonçalves da Silva, Goiânia;NA;Brazil;20,169230770;520;-43,9016252;-19,8721346;NA;NA;NA;NA
